Pholiota / destruens,,,,,,,,
Piptoporus / betulinus,Formitopsidaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Pleurotus / cornucopiae,Pleurotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Pleurotus / eryngii,,,,,,,,
Pleurotus / ostreatus,Pleurotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Pleurotus / pulmonarius,Pleurotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Pleurotus / sp.,Pleurotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Pluteus / atricapillus,Pluteaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Pluteus / cervinus,Pluteaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Pluteus / curtisii,,,,,,,,
Pluteus / olivaceus,,,,,,,,
Pluteus / sp.,,,,,,,,
Polyporus / arcularius,,,,,,,,
Polyporus / badius,Polyporaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Polyporus / caesius,,,,,,,,
Polyporus / ciliatus,,,,,,,,
Polyporus / floccipes,,,,,,,,
Polyporus / sp.,,,,,,,,
Polyporus / squamosus,Polyporaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Polyporus / stipticus,,,,,,,,
Polyporus / tuberaster,Polyporaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Polyporus / varius,Polyporaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Psathyrella / candolleana,Psathyrellaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Psathyrella / hydrophila,Psathyrellaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Psathyrella / sp.,,,,,,,,
Pseudohydnum / gelatinosum,,,,,,,,
Pseudotrametes / gibbosa,Polyporaceae s.lato,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Pycnoporus / cinnabarinus,Polyporaceae s.lato,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Ramaria / sp.,Gomphaceae,Gomphales,Phallomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Rozites / caperata,,,,,,,,
Russula / albonigra,,,,,,,,
